path_num,points,times,Energy
40,"-2,-2,1;0,0,1;1,0,1;-2,0,1;0,-1,1;-1,0,1;1,0,1","98,74,102,94,114,73,57",20060
41,"1,0,1;-3,0,1;-1,0,1;0,0,1;-2,-2,1;0,0,1;0,-1,1;1,1,1","92,102,101,78,64,64,81,94",8204164
42,"1,1,1;2,-2,1;4,0,1;5,-1,1;5,0,1;5,0,1","119,96,119,82,108,73",10824
43,"5,0,1;-5,-2,1;-2,0,1;0,1,1;1,-1,1;3,0,1;-3,-1,1","101,96,101,79,75,88,118",402965
44,"-3,-1,1;1,1,1;3,-1,1;3,0,1;5,0,1;5,2,1;5,-2,1;5,1,1","60,69,71,105,80,82,75,90",6405330
45,"5,1,1;-5,2,1;-4,-3,1;-1,-2,1;0,0,1;1,-2,1;-1,0,1;1,2,1;-1,2,1","54,85,89,82,91,55,88,65,77",4547277
46,"-1,2,1;-1,3,1;1,-4,1;3,3,1;3,-5,1;3,-4,1;3,-1,1","112,63,113,88,105,81,71",19360
47,"3,-1,1;-3,1,1;-2,-3,1;0,0,1;-1,1,1;0,-3,1;2,-1,1","83,107,119,82,97,96,95",4357573
48,"2,-1,1;2,0,1;4,2,1;5,3,1;5,-3,1;5,0,1;-5,2,1","109,88,105,103,79,86,101",1765402
49,"-5,2,1;4,3,1;5,-5,1;5,2,1;5,2,1;5,2,1;-5,3,1;-4,4,1;-1,-5,1","61,100,57,113,55,91,61,74,70",137109633
50,"-1,-5,1;0,2,1;0,-4,1;-2,3,1;1,-5,1;1,2,1;-3,4,1;1,5,1","117,98,54,54,71,108,79,73",266100940
51,"1,5,1;3,-5,1;-4,4,1;1,-5,1;-2,-2,1;0,-1,1;2,0,1;-3,0,1","80,110,82,110,53,53,94,85",365806760
52,"-3,0,1;-1,-1,1;0,1,1;-1,1,1;1,1,1;1,-2,1;1,-1,1","68,119,85,62,117,103,87",106559
53,"1,-1,1;-1,0,1;-1,0,1;0,0,1;0,0,1;2,2,1;2,2,1","88,112,83,69,107,100,104",63449
54,"2,2,1;2,-4,1;4,-1,1;-5,-1,1;4,0,1;5,0,1;-5,2,1","98,81,115,79,60,119,55",13088280
55,"-5,2,1;-4,-2,1;3,1,1;5,1,1;5,-1,1;5,0,1;5,1,1;5,-1,1","58,92,67,62,113,81,99,118",1948082
56,"5,-1,1;5,0,1;5,-2,1;5,1,1;-5,-3,1;2,0,1;4,0,1","81,50,106,105,82,110,56",10172368
57,"4,0,1;4,1,1;-5,-1,1;-3,1,1;1,-2,1;-1,-1,1;0,1,1;2,2,1","92,85,83,62,98,119,57,92",129872
58,"2,2,1;-4,-3,1;2,0,1;2,0,1;3,-2,1;4,0,1;-5,0,1","92,57,85,90,106,115,93",4342015
59,"-5,0,1;2,0,1;2,1,1;-3,2,1;-1,-3,1;0,1,1;2,2,1;2,2,1","92,77,55,88,119,103,50,67",23756702
60,"2,2,1;2,2,1;2,3,1;-3,-4,1;0,-1,1;-2,0,1;0,0,1;-2,1,1","53,55,106,55,101,103,98,112",44012876
61,"-2,1,1;1,3,1;-3,-3,1;1,-1,1;3,1,1;4,3,1;-4,5,1;-1,5,1","78,77,70,58,60,83,103,88",696816
62,"-1,5,1;0,-5,1;-2,2,1;-1,-3,1;0,0,1;-1,1,1;0,-1,1","94,90,115,71,109,52,115",2075007
63,"0,-1,1;1,0,1;3,0,1;-4,0,1;3,0,1;-5,0,1;-2,0,1;1,2,1","67,64,117,114,58,90,67,113",6747949
64,"1,2,1;-2,-4,1;-1,-2,1;0,0,1;0,0,1;1,0,1;1,0,1;-1,-1,1;0,1,1","111,106,78,71,82,79,70,50,50",1466253
65,"0,1,1;-1,2,1;1,-4,1;2,2,1;-4,4,1;-1,5,1;0,5,1","104,63,118,115,68,115,88",1071326
66,"0,5,1;-1,-5,1;0,4,1;-2,5,1;1,-5,1;2,-4,1;4,-1,1;-5,0,1","88,63,53,71,74,94,115,62",18215426
67,"-5,0,1;-2,0,1;0,-1,1;0,0,1;0,0,1;-1,2,1;0,4,1;-2,4,1","59,93,86,77,116,75,52,107",1903615
68,"-2,4,1;0,5,1;2,5,1;4,5,1;5,-5,1;-5,4,1;4,-5,1;-5,4,1","68,53,91,65,78,50,114,94",256162105
69,"-5,4,1;4,5,1;5,5,1;5,5,1;5,5,1;-5,-5,1;-4,-2,1","91,109,88,112,98,102,77",4742818
70,"-4,-2,1;-3,0,1;-1,0,1;1,1,1;-1,2,1;0,4,1;0,5,1","110,84,111,104,50,63,106",1845432
71,"0,5,1;0,-5,1;-1,-3,1;0,0,1;0,-2,1;0,0,1;0,2,1;-1,-3,1","89,108,64,83,109,102,53,51",67408
72,"-1,-3,1;0,-1,1;0,0,1;0,1,1;0,3,1;1,-4,1;-3,-1,1;2,0,1","91,58,107,57,110,80,73,95",6037484
73,"2,0,1;4,1,1;-5,-3,1;2,1,1;4,2,1;5,-3,1;5,1,1","71,97,88,113,110,114,105",2790247
74,"5,1,1;-5,-3,1;-3,1,1;2,-2,1;2,1,1;4,1,1;5,3,1","114,56,63,114,53,111,103",9206556
75,"5,3,1;-5,4,1;-4,5,1;-2,-5,1;0,2,1;0,-2,1;2,0,1","89,67,105,119,110,50,57",252639300
76,"2,0,1;-4,-1,1;3,0,1;-4,2,1;-3,3,1;-1,4,1;0,5,1;0,5,1","104,59,118,106,78,85,67,56",422530
77,"0,5,1;0,-5,1;-2,2,1;1,2,1;-3,3,1;0,5,1;-1,5,1;-1,5,1","50,59,94,73,78,83,114,84",3082605
78,"-1,5,1;0,-5,1;0,-2,1;-2,1,1;0,-2,1;-1,1,1;1,-3,1;-1,-2,1","116,105,107,84,93,68,53,54",3512417
79,"-1,-2,1;0,0,1;-1,1,1;1,2,1;-3,4,1;-2,-4,1;0,-1,1","112,106,102,98,72,84,109",22863399
80,"0,-1,1;0,1,1;1,1,1;1,3,1;3,-4,1;-3,-2,1;1,0,1;3,0,1","58,72,95,69,78,84,81,64",15927462
81,"3,0,1;5,0,1;5,-2,1;-5,0,1;3,-1,1;4,0,1;-5,2,1;-2,-4,1;-1,-1,1","63,55,105,63,71,73,81,54,89",60320943
82,"-1,-1,1;-1,-1,1;0,1,1;0,1,1;-1,-3,1;0,0,1;0,-2,1","119,113,91,83,114,76,76",97296
83,"0,-2,1;-2,0,1;0,-2,1;-2,-1,1;0,0,1;-2,2,1;0,3,1;0,3,1","86,54,112,87,114,64,70,107",700830
84,"0,3,1;0,4,1;-1,4,1;0,-4,1;-1,2,1;1,-4,1;-2,2,1;-1,-2,1","89,64,55,113,69,87,55,106",13453238
85,"-1,-2,1;0,0,1;-2,0,1;1,2,1;-2,2,1;0,2,1;2,-2,1","109,96,114,100,87,76,108",466737
86,"2,-2,1;3,0,1;-5,0,1;3,0,1;-3,0,1;0,-2,1;-1,-1,1;0,0,1","63,111,109,84,93,74,88,71",7270446
87,"0,0,1;-2,-2,1;0,0,1;0,2,1;0,2,1;2,-2,1;3,0,1;-4,-1,1","93,100,81,56,66,93,80,69",1092152
88,"-4,-1,1;3,0,1;3,-2,1;3,-1,1;4,0,1;5,2,1;5,-3,1;-5,0,1","106,89,53,90,103,91,109,55",2603584
89,"-5,0,1;4,-2,1;5,0,1;-5,1,1;-3,-2,1;-1,0,1;-1,-2,1","115,84,111,105,70,94,92",4546676
90,"-1,-2,1;1,-1,1;2,0,1;-3,-1,1;0,0,1;-2,-2,1;0,0,1;1,2,1","84,65,90,79,94,73,112,87",3771332
91,"1,2,1;2,2,1;-4,3,1;-1,5,1;0,-5,1;-1,-2,1;0,0,1;-1,0,1","95,61,60,92,119,55,71,52",34547965
92,"-1,0,1;0,2,1;0,-4,1;0,-1,1;-1,0,1;0,-1,1","119,117,101,94,79,105",14874
93,"0,-1,1;2,-1,1;4,0,1;5,2,1;-5,-3,1;2,-1,1;3,-1,1;-3,0,1","106,110,56,84,81,83,95,73",175823344
94,"-3,0,1;-1,1,1;-1,3,1;0,-4,1;2,2,1;3,-3,1;3,0,1;3,-2,1;-4,0,1","59,62,94,73,66,59,96,58,113",18809789
95,"-4,0,1;-2,-1,1;0,0,1;-1,-1,1;1,0,1;-1,-2,1;0,0,1;-2,-1,1","86,116,51,108,60,63,61,76",11632617
96,"-2,-1,1;1,0,1;2,1,1;3,1,1;-5,-3,1;3,-1,1;3,1,1;-4,-1,1;3,-1,1","83,63,51,108,75,95,59,58,107",4481297
97,"3,-1,1;4,0,1;-5,2,1;-4,2,1;-1,-2,1;0,-1,1;0,-1,1;-2,0,1","103,60,85,112,118,88,62,55",3070356
98,"-2,0,1;0,-2,1;-1,0,1;-1,0,1;0,-1,1;0,-1,1;-1,1,1;1,3,1","118,63,58,70,77,75,61,65",1705601
99,"1,3,1;-1,-4,1;0,-1,1;0,0,1;0,0,1;0,-2,1;0,0,1","69,98,73,87,119,85,94",0
100,"0,0,1;0,-2,1;2,0,1;-3,-1,1;-2,1,1;0,-3,1;-1,2,1","115,68,74,112,102,83,81",7008933
101,"-1,2,1;0,3,1;-2,4,1;0,4,1;-1,5,1;-1,-5,1;-1,-2,1;0,0,1","77,111,66,60,58,84,57,105",2824430
102,"0,0,1;-1,0,1;0,-1,1;2,0,1;2,-2,1;3,0,1;-3,0,1","68,93,119,53,101,64,118",20269534
103,"-3,0,1;1,0,1;3,-1,1;4,0,1;-5,1,1;-3,2,1;0,2,1;-2,3,1","83,52,84,109,96,109,53,71",3265042
104,"-2,3,1;-1,3,1;1,3,1;3,-3,1;3,2,1;3,3,1;4,-4,1","87,102,114,58,55,103,68",109555605
105,"4,-4,1;5,2,1;-5,-4,1;4,1,1;4,3,1;4,3,1;5,-5,1","116,101,66,82,93,98,107",3992525
106,"5,-5,1;-5,2,1;2,-4,1;-4,3,1;-1,-3,1;1,0,1;-3,0,1","87,61,99,93,73,99,111",47763839
107,"-3,0,1;2,0,1;3,2,1;-3,2,1;0,-3,1;0,0,1;1,-1,1","116,117,65,86,94,88,74",11339127
108,"1,-1,1;1,1,1;-3,1,1;-1,-1,1;1,0,1;-3,-2,1;0,0,1;-2,0,1","80,61,82,89,75,69,67,63",59413097
109,"-2,0,1;0,-2,1;2,-1,1;-2,0,1;0,1,1;-2,-1,1;-1,1,1;0,-2,1","69,98,54,60,103,91,85,92",15957117
110,"0,-2,1;2,0,1;4,-2,1;-5,0,1;3,0,1;-5,-2,1;4,0,1","91,54,96,107,119,87,67",44324641
111,"4,0,1;5,0,1;-5,1,1;3,-3,1;3,0,1;5,-1,1;-5,1,1","68,109,87,115,52,93,119",12696026
112,"-5,1,1;4,3,1;-5,-5,1;-3,-4,1;0,3,1;2,4,1;-2,5,1","114,55,76,85,112,100,97",1285334
113,"-2,5,1;0,-5,1;-2,2,1;0,-2,1;1,1,1;-3,3,1;-1,5,1;1,5,1","65,88,97,107,99,66,67,85",13191042
114,"1,5,1;2,-5,1;4,-4,1;-5,1,1;3,-1,1;-3,0,1;-2,0,1","75,119,92,72,83,91,79",154759564
115,"-2,0,1;1,0,1;2,-1,1;-4,0,1;-1,-2,1;-1,0,1;0,2,1;1,2,1;-2,4,1;0,-5,1","70,54,66,65,58,82,74,56,110,63",25670828
116,"0,-5,1;0,3,1;2,-3,1;4,-1,1;4,0,1;-5,1,1;-3,-3,1;0,0,1","83,89,68,94,73,104,117,69",202250
117,"0,0,1;2,1,1;4,3,1;5,-4,1;-5,-3,1;-2,2,1;0,3,1;0,5,1","119,73,84,57,97,95,60,72",53452085
118,"0,5,1;1,-5,1;3,-2,1;-5,1,1;-2,-2,1;0,0,1;1,-1,1;2,0,1","89,61,61,54,117,88,92,57",22740376
119,"2,0,1;-3,2,1;1,-3,1;-2,0,1;-1,2,1;1,-4,1;2,-2,1","110,88,57,64,117,98,69",34404
120,"2,-2,1;4,0,1;4,0,1;-5,0,1;4,0,1;4,0,1;-5,0,1","88,114,64,51,66,119,111",18080
121,"-5,0,1;-3,0,1;2,-1,1;4,0,1;4,-2,1;-5,0,1;-2,0,1;0,-1,1","102,88,104,80,58,74,81,85",5216542
122,"0,-1,1;-1,0,1;1,1,1;2,-3,1;4,0,1;-5,-1,1;3,1,1","115,87,91,67,94,112,62",3470778
123,"3,1,1;-3,1,1;-2,3,1;0,-3,1;0,2,1;0,-3,1;0,0,1","93,63,119,79,103,106,87",650674
124,"0,0,1;0,-1,1;-2,1,1;0,2,1;1,3,1;1,5,1;-3,5,1","85,64,114,54,112,57,114",2644987
125,"-3,5,1;-2,5,1;1,5,1;-3,5,1;1,5,1;-1,5,1;-1,5,1;0,5,1","71,84,80,92,88,68,90,86",73576
126,"0,5,1;2,-5,1;4,3,1;-4,-5,1;-1,3,1;1,5,1;-1,5,1;1,-5,1","83,100,79,61,98,119,83,61",86220547
127,"1,-5,1;-2,-2,1;0,0,1;0,2,1;2,4,1;-3,-5,1;2,-3,1","91,79,113,116,75,96,66",14895654
128,"2,-3,1;-2,-2,1;-1,0,1;0,0,1;0,1,1;-2,-1,1;-1,-1,1;0,0,1","105,76,61,63,78,64,94,88",76980
129,"0,0,1;0,-1,1;0,0,1;0,-1,1;1,0,1;2,-1,1;-3,-1,1;0,0,1;1,-2,1","103,80,66,67,98,51,65,59,96",2893873
130,"1,-2,1;1,1,1;-1,-2,1;0,-1,1;2,0,1;4,-2,1;-5,-1,1;-4,0,1;-2,0,1","93,53,56,105,98,93,63,66,61",7634993
131,"-2,0,1;0,0,1;1,0,1;2,-2,1;3,0,1;-4,0,1;1,-1,1;-1,0,1","91,61,88,97,67,93,86,99",6574347
132,"-1,0,1;0,-2,1;2,0,1;-4,-1,1;-2,-1,1;0,0,1;2,2,1;2,-2,1","83,78,70,105,60,117,89,78",662018
133,"2,-2,1;-2,1,1;1,1,1;1,1,1;-1,-3,1;-1,1,1;0,2,1","78,95,103,66,115,97,98",51043
134,"0,2,1;0,3,1;0,3,1;2,-4,1;4,-2,1;5,-1,1;5,0,1;-5,2,1","105,59,113,69,119,88,63,57",10135011
135,"-5,2,1;-4,-4,1;-2,-1,1;0,-1,1;0,0,1;-2,2,1;1,-2,1","84,57,76,115,108,114,75",2426749
136,"1,-2,1;3,0,1;4,0,1;5,-1,1;5,-1,1;5,1,1;-5,-2,1;3,0,1","54,109,87,66,55,79,82,69",2176318
137,"3,0,1;4,-1,1;-5,0,1;-2,0,1;-1,-1,1;-1,0,1;0,1,1;1,1,1","82,50,90,84,114,56,89,81",331437
138,"1,1,1;-2,2,1;0,4,1;0,-5,1;-2,4,1;0,-5,1;-2,-2,1","110,53,110,73,106,114,102",7360585
139,"-2,-2,1;0,0,1;2,0,1;-2,1,1;1,1,1;3,-1,1;-3,0,1;1,0,1","62,112,76,53,88,73,112,105",181202
140,"1,0,1;3,2,1;-3,-2,1;2,0,1;3,1,1;-3,1,1;-1,-1,1;1,1,1","97,50,72,72,72,87,50,102",4174146
141,"1,1,1;3,2,1;-3,-3,1;0,-1,1;-1,1,1;0,3,1;-1,-3,1","84,62,69,101,92,109,107",4999528
142,"-1,-3,1;-1,1,1;0,-3,1;1,0,1;-3,-1,1;0,0,1;-1,0,1","102,101,114,85,104,61,52",77400
143,"-1,0,1;1,-2,1;-1,1,1;0,-3,1;-1,0,1;-1,0,1;1,0,1","100,91,65,117,74,114,97",4115836
144,"1,0,1;-2,1,1;0,2,1;-1,-4,1;0,-1,1;-2,0,1;-1,0,1","96,101,93,62,79,74,98",10250659
145,"-1,0,1;0,-1,1;2,0,1;-4,0,1;1,2,1;3,2,1;-5,-3,1;3,1,1;-3,-1,1","52,66,52,67,76,57,109,118,54",64260197
146,"-3,-1,1;2,-1,1;3,0,1;-5,-2,1;-4,0,1;3,0,1;3,2,1;-3,4,1","91,67,100,95,72,50,60,95",197122054
147,"-3,4,1;-2,5,1;-1,-5,1;0,3,1;-1,-5,1;1,-3,1;3,-2,1;-4,0,1;2,0,1","112,67,92,52,56,53,98,67,73",4209312
148,"2,0,1;-2,1,1;-1,3,1;0,-4,1;1,-2,1;1,0,1;1,-1,1;-2,-1,1","55,90,65,112,109,77,85,100",234
149,"-2,-1,1;0,-1,1;2,0,1;2,0,1;3,2,1;-5,3,1;3,5,1","70,95,55,82,91,114,109",11891218
150,"3,5,1;5,5,1;-5,-5,1;3,-4,1;5,-3,1;5,-1,1;-5,-1,1","90,110,79,114,82,96,76",787450
151,"-5,-1,1;-3,0,1;-1,-1,1;0,-1,1;-2,0,1;-1,0,1;0,0,1","103,90,52,109,108,96,100",210754
152,"0,0,1;1,0,1;-2,-1,1;0,0,1;0,0,1;1,0,1;-3,0,1;-2,1,1","82,101,87,53,70,100,92,87",88557765
153,"-2,1,1;0,-1,1;2,-1,1;4,-1,1;-5,-1,1;-2,0,1;0,-2,1;-2,0,1;0,-1,1","117,66,61,66,53,94,83,62,80",11060513
154,"0,-1,1;0,1,1;1,-2,1;3,0,1;-3,1,1;-2,-1,1;0,0,1;0,0,1","56,63,55,58,50,112,98,116",2545716
155,"0,0,1;1,0,1;3,-2,1;-5,0,1;-4,-2,1;-3,0,1;-1,0,1;-1,0,1","108,60,89,110,100,52,80,62",2757273
156,"-1,0,1;-1,-2,1;1,-1,1;3,-1,1;5,0,1;-5,1,1;-4,-3,1","61,109,115,66,73,94,116",6527610
157,"-4,-3,1;2,-2,1;3,0,1;-4,1,1;-2,1,1;0,-3,1;0,1,1;0,1,1","71,63,105,85,109,116,58,88",892562
158,"0,1,1;-1,2,1;0,2,1;1,-4,1;1,2,1;2,-4,1;-4,-1,1;2,0,1","58,56,116,99,78,68,89,94",7347970
159,"2,0,1;4,2,1;5,3,1;-5,-3,1;-2,1,1;-1,2,1;1,4,1","110,97,117,82,84,54,98",51214025
160,"1,4,1;3,5,1;-5,-5,1;-2,-4,1;1,-1,1;-2,0,1;0,1,1;0,-1,1","101,68,57,109,94,59,114,97",98634885
161,"0,-1,1;0,-1,1;-2,-1,1;0,0,1;-2,-2,1;0,-1,1;-2,0,1;1,2,1","105,72,69,110,101,62,72,57",1964885
162,"1,2,1;3,-4,1;5,1,1;5,2,1;-5,-4,1;3,1,1;3,3,1;-5,-5,1","82,64,58,61,103,84,102,88",147977308
163,"-5,-5,1;-3,4,1;2,-4,1;-2,-3,1;0,1,1;-2,3,1;-1,-4,1;1,1,1","102,104,79,70,80,89,58,89",9130325
164,"1,1,1;-3,2,1;2,-4,1;4,2,1;5,-3,1;5,0,1;5,-1,1;5,0,1","72,100,97,83,52,83,65,72",974527
165,"5,0,1;5,1,1;-5,-1,1;-4,0,1;2,0,1;2,-2,1;-4,0,1;-1,1,1","90,110,102,73,51,115,54,64",16640715
166,"-1,1,1;0,-1,1;0,0,1;2,0,1;4,0,1;-5,2,1;3,-2,1","110,65,113,62,57,111,98",229824934
167,"3,-2,1;-4,-1,1;3,0,1;-5,-1,1;3,0,1;-4,0,1;1,-1,1;3,0,1","105,107,67,94,113,58,64,86",191673770
168,"3,0,1;3,1,1;-5,-1,1;-4,1,1;-3,-1,1;0,0,1;-2,0,1","80,77,80,108,93,111,99",5078609
169,"-2,0,1;0,2,1;0,-2,1;1,-1,1;-3,0,1;0,-2,1;0,0,1;1,0,1","77,86,114,95,62,105,77,82",46928
170,"1,0,1;1,-2,1;-1,-1,1;0,0,1;-2,0,1;0,-2,1;1,0,1;2,0,1;3,1,1","62,62,84,53,98,55,114,102,68",327759
171,"3,1,1;5,1,1;5,-2,1;-5,0,1;2,-1,1;-3,0,1;0,1,1","110,85,63,94,100,85,118",252326368
172,"0,1,1;0,-1,1;-2,1,1;0,1,1;1,-3,1;3,-1,1;5,0,1","118,63,98,67,115,102,107",38292
173,"5,0,1;5,-1,1;5,0,1;5,-1,1;-5,0,1;-3,-1,1;0,-1,1;-2,0,1","87,84,57,74,112,56,78,59",1922734
174,"-2,0,1;0,-1,1;-1,0,1;1,0,1;-3,-1,1;-1,0,1;-1,0,1;0,-1,1","95,57,93,80,80,79,108,66",5282930
175,"0,-1,1;-2,0,1;0,-1,1;-2,0,1;-1,-1,1;1,0,1","102,110,93,119,95,108",15080
176,"1,0,1;1,-2,1;-2,0,1;0,0,1;0,0,1;-2,2,1;-1,2,1;0,-3,1","53,114,97,86,67,119,54,77",669384
177,"0,-3,1;0,0,1;1,-1,1;-3,1,1;2,2,1;2,-2,1;2,0,1;4,-2,1;4,0,1","66,58,75,86,54,61,111,112,55",51042
178,"4,0,1;5,0,1;5,-2,1;-5,-1,1;-2,1,1;-1,-1,1;0,-1,1;0,0,1;-2,0,1","88,97,52,84,59,88,75,56,59",72879473
179,"-2,0,1;-1,2,1;0,2,1;0,-3,1;-2,-2,1;-1,-1,1;0,0,1;-1,0,1","111,101,84,63,58,109,76,93",2759027
180,"-1,0,1;-1,-1,1;0,0,1;1,2,1;-1,2,1;1,-3,1;-3,0,1","70,89,85,76,116,91,80",13346446
181,"-3,0,1;1,0,1;-1,-1,1;0,-1,1;-2,1,1;1,2,1;2,3,1","104,105,110,65,57,99,75",31007
182,"2,3,1;-4,3,1;-1,3,1;1,3,1;1,-5,1;3,-4,1;4,-1,1","102,67,104,116,98,107,82",652248
183,"4,-1,1;-4,1,1;3,2,1;4,4,1;4,5,1;-4,5,1;-3,-5,1;-2,4,1","67,119,95,119,66,84,60,66",8412448
184,"-2,4,1;-1,-5,1;0,2,1;2,-2,1;3,0,1;-4,1,1;2,2,1","118,112,115,119,54,63,90",3230694
185,"2,2,1;4,-2,1;-4,0,1;-1,-2,1;-1,0,1;0,0,1;0,2,1","88,86,73,76,112,64,116",2185203
186,"0,2,1;-2,4,1;0,-5,1;-2,-2,1;1,0,1;-1,1,1;0,-3,1;0,0,1;2,1,1","113,53,105,72,50,64,75,50,75",5837701
187,"2,1,1;2,3,1;3,-4,1;4,2,1;-4,-2,1;-1,1,1;1,-3,1;3,1,1","66,95,100,73,76,69,113,101",14587604
188,"3,1,1;5,-1,1;-5,0,1;-3,0,1;2,-2,1;-2,0,1;0,-2,1;0,1,1","53,116,82,96,65,54,99,88",5060268
